Module,Page/Route,Component/Button,Before (Sebelumnya),After (Sekarang),Severity,Query Keys Invalidated
Sales,/sales/orders,Tombol Create Work Orders,Used anti-pattern void refetch() — only partially refreshed current list. Never touched manufacturing dashboard.,Uses proper invalidateQueries for salesOrders + workOrders + mfgDashboard + salesDashboard.,High,salesOrders.all; workOrders.all; mfgDashboard.all; salesDashboard.all
Sales,/sales/pricelists,Tombol Simpan (Pricelist Save),Used window.location.reload() — full page reload losing all client state & scroll position & filters.,Uses invalidateQueries(priceLists.all) — instant refresh with no page reload.,High,priceLists.all
Procurement,/procurement/receiving,Tombol Terima Barang (GRN Accept),MOST CRITICAL GAP. Accepting GRN did NOT refresh inventory stock levels or products or warehouses or stock movements or procurement dashboard. Inventory showed WRONG stock until reload.,Accept refreshes 6 keys: purchaseOrders + procurementDashboard + inventoryDashboard + products + warehouses + stockMovements. Reject refreshes procurementDashboard.,Critical,purchaseOrders.all; procurementDashboard.all; inventoryDashboard.all; products.all; warehouses.all; stockMovements.all
Procurement,/procurement/receiving,Tombol Buat GRN (Create GRN Dialog),Used hardcoded query key instead of factory. Created GRN but didn't refresh PO list or dashboard.,Uses queryKeys.receiving.list() + refreshes purchaseOrders + procurementDashboard.,High,receiving.list; purchaseOrders.all; procurementDashboard.all
Procurement,/procurement/requests,Tombol Approve & Reject & Convert to PO,Approve/Reject/Convert didn't refresh procurement dashboard or PO list.,All actions refresh procurementDashboard + purchaseRequests/purchaseOrders as appropriate.,High,procurementDashboard.all; purchaseRequests.all; purchaseOrders.all
Procurement,/procurement/orders,Tombol Buat PO (New PO Dialog),Creating PO didn't refresh procurement dashboard.,Refreshes procurementDashboard.,Medium,procurementDashboard.all
Procurement,/procurement/orders,PO Details & PO Finalize,Viewing details or finalizing PO didn't refresh dashboard or requests.,Details refreshes purchaseRequests. Finalize refreshes procurementDashboard.,Medium,purchaseRequests.all; procurementDashboard.all
Procurement,/procurement/vendors,Tombol Simpan Vendor (New Vendor),Creating vendor didn't refresh procurement dashboard.,Refreshes procurementDashboard.,Low,procurementDashboard.all
Procurement,/procurement (inline),Tombol Approve & Reject (Inline Approval),Approve/reject buttons didn't refresh purchaseRequests or dashboard.,Both refresh purchaseRequests + procurementDashboard.,Medium,purchaseRequests.all; procurementDashboard.all
Procurement,/procurement/requests/new,Tombol Submit (Create Request Form),Submitting purchase request didn't refresh dashboard.,Refreshes procurementDashboard.,Medium,procurementDashboard.all
Finance,/finance/invoices,Tombol Kirim & Record Payment,Send invoice didn't refresh dashboard. Recording payment didn't refresh vendor payments or bills.,Send refreshes financeDashboard. Payment refreshes financeDashboard + vendorPayments + bills.,High,financeDashboard.all; vendorPayments.all; bills.all
Finance,/finance/bills,Tombol Dispute & Bayar,Dispute and Payout didn't refresh dashboard or invoices or vendor payments.,Dispute refreshes financeDashboard + invoices. Payout refreshes invoices + financeDashboard + vendorPayments.,High,financeDashboard.all; invoices.all; vendorPayments.all
Finance,/finance/payments,All 3 Payment Actions,All 3 payment actions didn't refresh dashboard or journal.,All refresh financeDashboard + journal.,High,financeDashboard.all; journal.all
Finance,/finance/journal & /new,Tombol Simpan (Journal Entry Create/Post),Creating or posting journal entry didn't refresh dashboard or chart of accounts.,Refreshes financeDashboard + chartAccounts.,Medium,financeDashboard.all; chartAccounts.all
Finance,/finance/chart-accounts,Tombol Edit (Chart of Accounts),Editing an account didn't refresh dashboard.,Refreshes glAccounts + financeDashboard.,Medium,glAccounts.all; financeDashboard.all
Finance,/finance/vendor-payments,Tombol Bayar (Record Vendor Payment),Recording vendor payment didn't refresh bills or invoices or dashboard or journal.,Refreshes bills + invoices + financeDashboard + journal.,High,bills.all; invoices.all; financeDashboard.all; journal.all
Finance,/finance (shortcuts),Quick Action Buttons (Accounting Module),Quick action buttons didn't refresh cross-module data.,All 3 shortcuts refresh relevant cross-module keys.,Medium,Various cross-module keys
Manufacturing,/manufacturing/orders,Tombol Buat Work Order (Create WO Dialog),Used manual fetchXxx() pattern instead of TanStack Query. Creating WO didn't refresh other pages showing WO count.,Refreshes workOrders.all + mfgDashboard.all.,High,workOrders.all; mfgDashboard.all
Manufacturing,/manufacturing/bom,Tombol Buat BOM (Create BOM Dialog),Creating BOM didn't refresh BOM list if navigating away and back.,Refreshes bom.all + mfgDashboard.all.,High,bom.all; mfgDashboard.all
Manufacturing,/manufacturing/machines,Tombol Simpan Mesin (Machine Form Dialog),Saving machine didn't refresh dashboard machine count.,Refreshes machines.all + mfgDashboard.all.,Medium,machines.all; mfgDashboard.all
Manufacturing,/manufacturing/groups,Tombol Simpan Grup (Group Form Dialog),Saving group didn't refresh dashboard or machine list.,Refreshes mfgGroups.all + machines.all + mfgDashboard.all.,Medium,mfgGroups.all; machines.all; mfgDashboard.all
Manufacturing,/manufacturing/routing,Tombol Buat Routing & Tambah Step,Creating routing or adding step didn't refresh dashboard.,Refreshes mfgRouting.all + mfgDashboard.all.,Medium,mfgRouting.all; mfgDashboard.all
Manufacturing,/manufacturing/orders,Tombol Transition & Production Report (WO Client),WO status transitions didn't refresh dashboard. Production report didn't refresh inventory stock or movements.,Transitions refresh workOrders + mfgDashboard. Production report also refreshes inventoryDashboard + products + stockMovements.,Critical,workOrders.all; mfgDashboard.all; inventoryDashboard.all; products.all; stockMovements.all
Manufacturing,/manufacturing/bom,Tombol Duplikat & Hapus (BOM Client),Duplicating or deleting BOM didn't refresh list.,Refreshes bom.all.,Medium,bom.all
Manufacturing,/manufacturing/work-centers,Tombol Hapus (Work Centers Client),Deleting work center didn't refresh machines or dashboard.,Refreshes machines.all + mfgDashboard.all.,Medium,machines.all; mfgDashboard.all
Manufacturing,/manufacturing/groups,Tombol Hapus (Groups Client),Deleting group didn't refresh machines or dashboard.,Refreshes mfgGroups.all + machines.all + mfgDashboard.all.,Medium,mfgGroups.all; machines.all; mfgDashboard.all
Manufacturing,/manufacturing/routing,Tombol Hapus (Routing Client),Deleting routing didn't refresh list.,Refreshes mfgRouting.all.,Low,mfgRouting.all
Manufacturing,/manufacturing/quality,Tombol Simpan Inspeksi (Create Inspection),Creating inspection didn't refresh quality list or dashboard.,Refreshes mfgQuality.all + mfgDashboard.all.,Medium,mfgQuality.all; mfgDashboard.all
Manufacturing,/manufacturing (dialog),Tombol Assign Machine Group,Assigning machine to group didn't refresh machines or groups.,Refreshes machines.all + mfgGroups.all.,Low,machines.all; mfgGroups.all
Manufacturing,/manufacturing (dialog),Tombol Schedule WO,Scheduling work order didn't refresh WO list or dashboard.,Refreshes workOrders.all + mfgDashboard.all.,Medium,workOrders.all; mfgDashboard.all
Subcontract,/subcontract/orders,Tombol Simpan (Order Form),Creating/editing subcontract order didn't refresh subcontractor registry list.,Refreshes subcontractRegistry.all.,Medium,subcontractRegistry.all
Subcontract,/subcontract/orders/[id],Tombol Update (Order Detail — 2 mutations),Both mutations on order detail didn't refresh registry list.,Both refresh subcontractRegistry.all.,Medium,subcontractRegistry.all
Subcontract,/subcontract/orders,Tombol Update Shipment (Shipment Tracking),Updating shipment status didn't refresh dashboard or registry.,Refreshes subcontractDashboard.all + subcontractRegistry.all.,Medium,subcontractDashboard.all; subcontractRegistry.all
Subcontract,/subcontract/registry,Tombol Buat Mitra (Create Subcontractor),Creating subcontractor didn't refresh orders list or dashboard.,Refreshes subcontractOrders.all + subcontractDashboard.all.,Medium,subcontractOrders.all; subcontractDashboard.all
Subcontract,/subcontract/registry,Tombol Edit Mitra (Edit Subcontractor),Editing subcontractor didn't refresh orders list or dashboard.,Refreshes subcontractOrders.all + subcontractDashboard.all.,Medium,subcontractOrders.all; subcontractDashboard.all
Cutting,/cutting/plans,Tombol Status Change (Cut Plan Status Actions),Changing cut plan status didn't refresh cutting dashboard.,Refreshes cuttingDashboard.all.,Medium,cuttingDashboard.all
Cutting,/cutting/plans/[id],Tombol Add/Remove Layer (Layer Builder),Adding/removing layers (fabric rolls) didn't refresh dashboard or fabric roll inventory.,Refreshes cuttingDashboard.all + fabricRolls.all on both add and remove.,High,cuttingDashboard.all; fabricRolls.all
Cutting,/cutting/plans/[id],Tombol Record Output (Output Table),Recording cut output didn't refresh dashboard.,Refreshes cuttingDashboard.all.,Medium,cuttingDashboard.all
Costing,/costing/sheets,Tombol Buat & Hapus (Sheets Client),ZERO queryClient usage. Creating/deleting cost sheets didn't refresh anything.,Refreshes costSheets.all + costingDashboard.all.,Critical,costSheets.all; costingDashboard.all
Costing,/costing/sheets/[id],All 7 Mutations (Sheet Detail),ALL 7 mutation points (update & add item & remove item & recalculate & approve & duplicate & delete) didn't refresh dashboard. Duplicating didn't refresh sheets list.,All 7 refresh costingDashboard. Duplicate also refreshes costSheets.all.,High,costingDashboard.all; costSheets.all
HCM,/hcm/employee-master,Tombol Tambah & Edit & Nonaktifkan & Bulk Nonaktifkan,ZERO TanStack Query invalidation. Creating an employee — they wouldn't appear until page reload. Same for edit & deactivate & bulk deactivate.,All 4 mutations refresh employees.all + hcmDashboard.all.,Critical,employees.all; hcmDashboard.all
HCM,/hcm/attendance,Tombol Clock In/Out & Approve/Reject Leave,Clock in/out and approve/reject leave didn't refresh dashboard or attendance list.,Clock event refreshes hcmAttendance.all + hcmDashboard.all. Leave actions refresh hcmDashboard.all.,Medium,hcmAttendance.all; hcmDashboard.all
HCM,/hcm/payroll,Tombol Generate & Approve & Disburse,ZERO invalidation. Generating & approving & disbursing payroll didn't refresh dashboard or journal or vendor payments. Approving payroll wouldn't create visible journal entries until reload.,Generate refreshes hcmDashboard. Approve refreshes hcmDashboard + journal. Disburse refreshes hcmDashboard + journal + vendorPayments.,Critical,hcmDashboard.all; journal.all; vendorPayments.all
HCM,/hcm (calendar),Tombol Assign Shift (Shift Calendar),Assigning shifts to employees didn't refresh employee data.,Refreshes employees.all.,Low,employees.all
Documents,/documents/master,Tombol Simpan Kategori & Gudang (Control Center),Category and warehouse mutations in master data didn't refresh their cross-module data.,Category mutations refresh categories.all. Warehouse mutations refresh warehouses.all + inventoryDashboard.all.,Medium,categories.all; warehouses.all; inventoryDashboard.all
